Phase,Block,TrialInBlock,GlobalTrial,SoundFile,SoundPath,Category,ExpectedResponse,ExpectedColor,PressedResponse,PressedColor,Correct,ReactionTime_s,Slow,EarlyPressDetected,SoundOnset_s,SoundOffset_s,ResponseOnset_s,ResponsePress_s,MappingLabel
generalization,1,47,NaN,xSequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_12.flac,x,4,Red,4,Red,1,0.725999600006617,0,0,105692.7247594,105694.2541818,105694.5906846,105695.3166842,generalization
generalization,1,48,NaN,ySequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_12.flac,y,2,Green,3,Blue,0,0.456301600002917,0,0,105696.801932,105698.3297095,105698.67319,105699.1294916,generalization
generalization,2,49,NaN,xSequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_9.flac,x,4,Red,4,Red,1,0.608640099992044,0,0,105700.6585562,105702.1892452,105702.5240306,105703.1326707,generalization
generalization,2,50,NaN,aSequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_3.flac,a,3,Blue,3,Blue,1,0.460183300005156,0,0,105704.691506,105706.2147249,105706.5563366,105707.0165199,generalization
generalization,2,51,NaN,aSequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_10.flac,a,3,Blue,3,Blue,1,0.48582119999628,0,0,105708.5214851,105710.0548623,105710.392193,105710.8780142,generalization
generalization,2,52,NaN,bSequenceGen_8.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_8.flac,b,1,Yellow,4,Red,0,0.700360000002547,0,0,105712.3997134,105713.9221434,105714.2565678,105714.9569278,generalization
generalization,2,53,NaN,bSequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_6.flac,b,1,Yellow,2,Green,0,0.515908900008071,0,0,105716.4816693,105718.0186058,105718.3573216,105718.8732305,generalization
generalization,2,54,NaN,xSequenceGen_5.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_5.flac,x,4,Red,1,Yellow,0,0.798701699997764,0,0,105720.4132605,105721.9413,105722.2901807,105723.0888824,generalization
generalization,2,55,NaN,xSequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_10.flac,x,4,Red,1,Yellow,0,0.575381700007711,0,0,105724.6288954,105726.1582152,105726.4881969,105727.0635786,generalization
generalization,2,56,NaN,ySequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_12.flac,y,2,Green,1,Yellow,0,0.951784099990618,0,0,105728.6057371,105730.1298767,105730.471392,105731.4231761,generalization
generalization,2,57,NaN,ySequenceGen_2.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_2.flac,y,2,Green,2,Green,1,0.389843100012513,0,0,105732.9365345,105734.4701027,105734.8064621,105735.1963052,generalization
generalization,2,58,NaN,aSequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_11.flac,a,3,Blue,1,Yellow,0,0.548683300003177,0,0,105736.7536447,105738.279965,105738.6253995,105739.1740828,generalization
generalization,2,59,NaN,aSequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_12.flac,a,3,Blue,1,Yellow,0,0.856034700002056,0,0,105740.7306772,105742.2607665,105742.6074026,105743.4634373,generalization
generalization,2,60,NaN,aSequenceGen_5.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_5.flac,a,3,Blue,1,Yellow,0,0.419565000003786,0,0,105744.9795328,105746.5057679,105746.857726,105747.277291,generalization
generalization,2,61,NaN,xSequenceGen_1.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_1.flac,x,4,Red,1,Yellow,0,0.494361500008381,0,0,105748.8084664,105750.3364451,105750.6733155,105751.167677,generalization
generalization,2,62,NaN,xSequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_11.flac,x,4,Red,2,Green,0,0.421332999991137,0,0,105752.7046238,105754.2317605,105754.5732369,105754.9945699,generalization
generalization,2,63,NaN,ySequenceGen_1.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_1.flac,y,2,Green,1,Yellow,0,0.448736599995755,0,0,105756.5187636,105758.0416932,105758.389762,105758.8384986,generalization
generalization,2,64,NaN,xSequenceGen_2.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_2.flac,x,4,Red,4,Red,1,0.412046800003736,0,0,105760.3271119,105761.8627962,105762.2062665,105762.6183133,generalization
generalization,2,65,NaN,ySequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_11.flac,y,2,Green,3,Blue,0,0.362001699992106,0,0,105764.1358735,105765.6636202,105766.0076754,105766.3696771,generalization
generalization,2,66,NaN,bSequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_3.flac,b,1,Yellow,3,Blue,0,2.94824599999993,0,0,105767.9215159,105769.4468332,105769.7966957,105772.7449417,generalization
generalization,2,67,NaN,bSequenceGen_11.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_11.flac,b,1,Yellow,4,Red,0,0.423670100004529,0,0,105774.292339,105775.8226779,105776.1541115,105776.5777816,generalization
generalization,2,68,NaN,ySequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_9.flac,y,2,Green,3,Blue,0,2.31683790001262,0,0,105778.1301232,105779.6629351,105780.0071733,105782.3240112,generalization
generalization,2,69,NaN,xSequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_4.flac,x,4,Red,3,Blue,0,0.472695499993279,0,0,105783.9230382,105785.4547334,105785.7992829,105786.2719784,generalization
generalization,2,70,NaN,aSequenceGen_2.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_2.flac,a,3,Blue,3,Blue,1,0.260718300007284,0,0,105787.8567882,105789.3874058,105789.7241828,105789.9849011,generalization
generalization,2,71,NaN,ySequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_6.flac,y,2,Green,3,Blue,0,0.350296899996465,0,0,105791.6080133,105793.1313937,105793.47444,105793.8247369,generalization
generalization,2,72,NaN,aSequenceGen_1.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_1.flac,a,3,Blue,3,Blue,1,0.273068900001817,0,0,105795.3891169,105796.915115,105797.2569773,105797.5300462,generalization
generalization,2,73,NaN,bSequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_12.flac,b,1,Yellow,3,Blue,0,0.615778400009731,0,0,105799.1079681,105800.6407771,105800.9742455,105801.5900239,generalization
generalization,2,74,NaN,bSequenceGen_2.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_2.flac,b,1,Yellow,3,Blue,0,0.491424199994071,0,0,105803.1472467,105804.6788317,105805.0246187,105805.5160429,generalization
generalization,2,75,NaN,aSequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_6.flac,a,3,Blue,3,Blue,1,0.0896937000070466,0,0,105807.0758055,105808.6131647,105808.9562032,105809.0458969,generalization
generalization,2,76,NaN,ySequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_3.flac,y,2,Green,1,Yellow,0,2.93093309999676,0,0,105810.673812,105812.2060174,105812.5411168,105815.4720499,generalization
generalization,2,77,NaN,aSequenceGen_8.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_8.flac,a,3,Blue,2,Green,0,0.355152399992221,0,0,105817.0555288,105818.5826967,105818.9215835,105819.2767359,generalization
generalization,2,78,NaN,ySequenceGen_5.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_5.flac,y,2,Green,2,Green,1,0.310941799994907,0,0,105820.7997975,105822.3286948,105822.673657,105822.9845988,generalization
generalization,2,79,NaN,bSequenceGen_1.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_1.flac,b,1,Yellow,1,Yellow,1,0.330372800002806,0,0,105824.5333207,105826.053581,105826.388292,105826.7186648,generalization
generalization,2,80,NaN,ySequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_7.flac,y,2,Green,1,Yellow,0,0.408754699994461,0,0,105828.2933976,105829.8188779,105830.1570493,105830.565804,generalization
generalization,2,81,NaN,bSequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_4.flac,b,1,Yellow,1,Yellow,1,0.353262400007225,0,0,105832.1407831,105833.6677836,105834.0089337,105834.3621961,generalization
generalization,2,82,NaN,xSequenceGen_8.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_8.flac,x,4,Red,2,Green,0,0.251226399996085,0,0,105835.9217495,105837.4483496,105837.7874766,105838.038703,generalization
generalization,2,83,NaN,ySequenceGen_8.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_8.flac,y,2,Green,1,Yellow,0,0.180170499996166,0,0,105839.6508112,105841.1866233,105841.522285,105841.7024555,generalization
generalization,2,84,NaN,ySequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_10.flac,y,2,Green,1,Yellow,0,0.237476800000877,0,0,105843.3051441,105844.8366053,105845.173104,105845.4105808,generalization
generalization,2,85,NaN,aSequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_4.flac,a,3,Blue,2,Green,0,0.232951100013452,0,0,105846.9735853,105848.4948842,105848.8386618,105849.0716129,generalization
generalization,2,86,NaN,xSequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_7.flac,x,4,Red,1,Yellow,0,0.296165799998562,0,0,105850.6107249,105852.1369084,105852.4728642,105852.76903,generalization
generalization,2,87,NaN,ySequenceGen_4.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\ySequenceGen_4.flac,y,2,Green,1,Yellow,0,0.32609180000145,0,0,105854.2913563,105855.8255688,105856.1751737,105856.5012655,generalization
generalization,2,88,NaN,bSequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_7.flac,b,1,Yellow,1,Yellow,1,0.602397100010421,0,0,105858.0634251,105859.5890743,105859.9256257,105860.5280228,generalization
generalization,2,89,NaN,bSequenceGen_10.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_10.flac,b,1,Yellow,1,Yellow,1,0.311654699995415,0,0,105862.095691,105863.625463,105863.9732152,105864.2848699,generalization
generalization,2,90,NaN,xSequenceGen_3.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_3.flac,x,4,Red,2,Green,0,0.296559399997932,0,0,105865.8328095,105867.3634515,105867.7092997,105868.0058591,generalization
generalization,2,91,NaN,xSequenceGen_6.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_6.flac,x,4,Red,1,Yellow,0,0.155744199990295,0,0,105869.5580786,105871.0865221,105871.4237693,105871.5795135,generalization
generalization,2,92,NaN,aSequenceGen_7.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_7.flac,a,3,Blue,2,Green,0,0.262326500000199,0,0,105873.1536613,105874.6916444,105875.0385715,105875.300898,generalization
generalization,2,93,NaN,xSequenceGen_12.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\xSequenceGen_12.flac,x,4,Red,1,Yellow,0,0.252597700004117,0,0,105876.8531897,105878.3896568,105878.7249793,105878.977577,generalization
generalization,2,94,NaN,aSequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\aSequenceGen_9.flac,a,3,Blue,2,Green,0,0.289977499996894,0,0,105880.5151253,105882.0402846,105882.3742914,105882.6642689,generalization
generalization,2,95,NaN,bSequenceGen_5.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_5.flac,b,1,Yellow,1,Yellow,1,0.330258300004061,0,0,105884.1965194,105885.7186547,105886.0552591,105886.3855174,generalization
generalization,2,96,NaN,bSequenceGen_9.flac,D:\Matlab_projects\SMART\SMART_game\flac_generalization\bSequenceGen_9.flac,b,1,Yellow,1,Yellow,1,0.440841299991007,0,0,105887.8976205,105889.4355225,105889.7757445,105890.2165858,generalization
